1	Abid road	Between Tajmahal to Abids circle	Abids	10.3312	119.349	\N
2	Alaska to Mangalhat	Baradari	Goshamahal	17.3789	78.4681	\N
3	Amberpet to Ramanthapur	Amberpet T Junction, Gadribagh lane, Gandhi statue, Golnaka, Blue sea hotel.	Kachiguda	17.3901	78.4933	\N
4	AOC rotary to R.K. Puram X Roads	R.K. Puram X Roads	Trimulgherry	17.4777	78.5107	\N
5	Ayodhya Junction to pti building	Opposite PTI building.	Nampally	17.3861	78.4639	\N
6	Ballamrai Junction to Tadbund Junction	Tadbund Junction	Trimulgherry	17.4777	78.5107	\N
7	Bank street to DM and HS	Old P.S.. Troop Bazar, Feroz Gandhi Park, Andhra bank	Sultan bazar	57.4127	-6.20124	\N
8	BJR statue Chermas	Between SBH, Chermas	Abids	10.393	78.473	\N
9	Military Diary form road Junction	Bowenpally check post towards Suchitra Junction.	Suchitra bridge	17.5428	78.4814	\N
10	Trimulgherry	Bowenpally towards Balanagar	Air force station	17.4747	78.507	\N
11	Trimulgherry	Bowenpally checkpost	Bowenpally X Roads to Bowenpally check post	17.4747	78.507	\N
12	Safe express	Trimulgherry	Brook bond X Roads towards new Monda market, Bowenpally	51.3178	-0.557653	\N
13	Delhi public school, Diamond point	Trimulgherry	Chadarghat to Ramkoti	17.3757	78.494	\N
14	Television cafÃƒÂ©, Ganesh temple, Crazy canner, dm & hs bus terminal, Hanuman Tekdi	Sultan bazar	Chaderghat rotary towards S.J. Rotary via Kalikabher.	17.3757	78.494	\N
15	Kalikabher	Mirchowk	Chadharghat to M.J. Market	17.3828	78.4748	\N
16	Sai Baba temple, Ranghmahal, Putlibowli, Jambagh	Sultan bazar	Foot of fly over at NMDC end and NMDC Junction	\N	\N	\N
17	Foot of fly over, nmdc turning	Asif nagar	Chikkadpally market to RTC X Roads	\N	\N	\N
18	Between Chikkadpally market to Sri Venkateshwara temple.	Chikkadpally	RTC X Roadss to Golconda X Roads	\N	\N	\N
19	Near Saptagiri theatre.	Chikkadpally	Tankbund Arch to Dailing club	\N	\N	\N
20	Chikkadpally	VST to RTC X Roads	Chikkadpally	17.4009	78.4976	\N
21	v v statue khairatabad to gokul theater erragadda ( via nims, panjaguut, s.r. Nagar, esi NH-9)	V.V. statue circle, NIMS, Panjagutta, Ameerpet, S.R. Nagar, ESI, Rythubazar	Panjagutta	17.4245	78.4511	\N
